Disciplina:FISICA ZERO; Codigo: IFD0004; Pre requisitos: -; Unidade responsavel: INSTITUTO DE FISICA; Ementa: A definir.

Disciplina:FISICA TEORICA PARA CIENCIAS AGRARIAS; Codigo: IFD0005; Pre requisitos: -; Unidade responsavel: INSTITUTO DE FISICA; Ementa: MEDICAO. ESTATICA. TRABALHO E ENERGIA. MECANICA DOS FLUIDOS.TERMODINAMICA. ELETROMAGNETISMO E RADIACOES.

Disciplina:FISICA EXPERIMENTAL PARA CIENCIAS AGRARIAS; Codigo: IFD0006; Pre requisitos: -; Unidade responsavel: INSTITUTO DE FISICA; Ementa: INTRODUCAO A PRATICA LABORATORIAL. MEDIDAS E ERROS. ANALISEGRAFICA. EXPERIMENTOS ENVOLVENDO CONCEITOS DE ESTATICA,FLUIDOS E TERMODINAMICA.Os conceitos de MEDIDAS E ERROS e ANALISE GRAFICA poderao serde forma contextualizada durante a realizacao dosexperimentos. A abordagem de conceitos de Eletricidade eRadiacao e opcional, a depender da disponibilidade dematerial.

Disciplina:METODOS DA FISICA EXPERIMENTAL; Codigo: IFD0010; Pre requisitos: -; Unidade responsavel: INSTITUTO DE FISICA; Ementa: Uso de instrumentos de medidasMedidas e incertezasAnalise grafica de dados Analise estatistica de dados.

Disciplina:FUNDAMENTOS MATEMATICOS DA FISICA A; Codigo: IFD0011; Pre requisitos: -; Unidade responsavel: INSTITUTO DE FISICA; Ementa: Limites, derivadas, aplicacoes das derivadas na fisica (mecanica), matrizes, calculo matricial, determinantes, sistemas de equacoes algebricas, algebra de vetores, produto escalar, produto vetorial, aplicacoes do calculo vetorial na fisica, derivadas de funcoes vetoriais, series aritmetica e geometrica, series de Taylor e suas aplicacoes na fisica, integrais unidimensionais, aplicacoes das integrais mecanicaDerivadas parciais, introducao ao gradiente, ao rotacional, ao divergente e ao laplaciano. Equacoes diferenciais ordinarias de primeira e segunda ordem. Sistema de coordenadas curvilineas ortogonais.Introducao a algebra linear, diagonalizacao de matrizes, relacao com o momento de inercia, eixos principais e simetrias.

Disciplina:FUNDAMENTOS MATEMATICOS DA FISICA B; Codigo: IFD0012; Pre requisitos: ( ( IFD0011 ) OU ( MAT0025 ) ); Unidade responsavel: INSTITUTO DE FISICA; Ementa: Revisao de algebra vetorial, Calculo vetorial e suas aplicacoes. Equacoes diferenciaisparciais e suas aplicacoes. Introducao as funcoes especiais e suas aplicacoes.Equacoes integrais elementares.

Disciplina:ONDAS, OPTICA E TERMODINAMICA; Codigo: IFD0013; Pre requisitos: ( ( IFD0069 OU IFD0171 ) E ( MAT0025 OU IFD0011 ) ); Unidade responsavel: INSTITUTO DE FISICA; Ementa: Fluidos. Oscilacoes Ondas, som Otica geometrica Interferencia e DifracaoTemperatura, calor, Primeira Lei da termodinamica, gases ideais Entropia, Segunda LeiTeoria cinetica, nocoes de fisica estatistica

Disciplina:LABORATORIO DE INSTRUMENTACAO CIENTIFICA A; Codigo: IFD0014; Pre requisitos: ( ( IFD0010 ) ); Unidade responsavel: INSTITUTO DE FISICA; Ementa: Circuitos Analogicos; Circuitos Digitais; Interfaceamento e aquisicao de dados; Introducao a Microcontroladores.

Disciplina:MECANICA CLASSICA A; Codigo: IFD0015; Pre requisitos: ( ( IFD0013 OU IFD0423 OU IFD0171 OU IFD0210 ) E ( ( MAT0026 ) E ( MAT0039 OU MAT0031 ) ) OU ( IFD0012 OU IFD0296 ) ); Unidade responsavel: INSTITUTO DE FISICA; Ementa: Revisao sucinta da mecanica newtoniana. Principios variacionais, equacoes de Lagrange, simetrias, leis de conservacao. Campos centrais, espalhamento, secao de choque. Referenciais nao-inerciais.Corpos rigidos

Disciplina:LABORATORIO DE MECANICA; Codigo: IFD0016; Pre requisitos: ( ( IFD0010 ) ); Unidade responsavel: INSTITUTO DE FISICA; Ementa: Realizacao de Experimentos que abordem ou inter-relacionem os seguintes conceitos de Mecanica:; Forca; Torque; Condicoes de equilibrio estatico e dinamico; Rotacoes; Rolamento; Momento de inercia; Leis de conservacao de momento linear, de momento angular e de energia.

Disciplina:FISICA MATEMATICA A; Codigo: IFD0017; Pre requisitos: ( ( MAT0028 ) E ( MAT0039 OU MAT0031 ) OU ( IFD0012 E MAT0026 ) ); Unidade responsavel: INSTITUTO DE FISICA; Ementa: Sequencias infinitas, series e series de funcoes. Equacoes diferenciais ordinarias. Equacoes diferenciais parciais e separacao de variaveis. Teoria de Sturm-Liouville efuncoes ortogonais. Funcoes especiais. Series de Fourier. Equacoes diferenciais parciais. Equacoes do calor, de onda e de Laplace. Transformadas integrais. Transformada de Fourier e de Laplace. Funcoesde Green. Distribuicoes

Disciplina:RELATIVIDADE E FISICA QUANTICA; Codigo: IFD0018; Pre requisitos: ( ( ( IFD0055 OU IFD0422 OU IFD0179 ) E ( IFD0069 OU IFD0419 OU IFD0171 ) E ( MAT0027 ) E ( IFD0012 OU MAT0031 OU MAT0039 ) ) OU ( IFD0183 ) OU ( IFD0137 ) ); Unidade responsavel: INSTITUTO DE FISICA; Ementa: Relatividade restrita.A fenomenologia quantica: radiacao do corpo negro, efeito fotoeletrico e efeito Compton.Espalhamento de Rutherford, espectros atomicos e modelo de Bohr, dualidade onda.Corpusculo, difracao de eletrons, o Principio da incerteza.Mecanica ondulatoria, solucoes da equacao de Schrodinger.Potenciais centrais, momento angular orbital, potencial coulombiano.Spin e atomo de hidrogenio: estrutura fina, efeito Zeeman. Transicoes radiativas.Particulas identicas

Disciplina:MECANICA CLASSICA B; Codigo: IFD0019; Pre requisitos: ( IFD0015 ); Unidade responsavel: INSTITUTO DE FISICA; Ementa: Pequenas oscilacoes. Relatividade restrita. Formalismo hamiltoniano, transformacoes canonicas, parenteses de Poisson. Sistemas continuos, simetrias

Disciplina:METODOS COMPUTACIONAIS A; Codigo: IFD0020; Pre requisitos: ( ( IFD0353 ) E ( MAT0029 OU MAT0031 OU IFD0012 ) ); Unidade responsavel: INSTITUTO DE FISICA; Ementa: Algebra linear, integracao aproximacao de funcoes. Funcoes especiais, zero de funcoes. Equacoes nao lineares, autovalores e autovetores de uma matriz. Equacoes diferenciais ordinarias.

Disciplina:LABORATORIO DE FISICA MODERNA; Codigo: IFD0021; Pre requisitos: ( IFD0010 ); Unidade responsavel: INSTITUTO DE FISICA; Ementa: Serao selecionados X experimentos da lista abaixo:Efeito FotoeletricoOndas evanescentes e tunelamentoExperimento de Franck-HertzExperimento de MillikanDifracao de eletronsRadiacao de corpo negro e Lei de Stefan-BoltzmanEspalhamento ComptonTemperatura de transicao em supercondutores e efeito MeissnerRessonancia eletronica de SpinAbsorcao de Raios-XCristalografia.

Disciplina:LABORATORIO DE OSCILACOES, ONDAS E FLUIDOS; Codigo: IFD0022; Pre requisitos: ( ( IFD0010 ) ); Unidade responsavel: INSTITUTO DE FISICA; Ementa: Serao selecionados X experimentos da lista abaixo:Pendulo FisicoPendulo Acoplado e ressonanciaPendulo caoticoPendulo de PohlOscilacoes Forcadas e pendulo amortecidoOndas estacionarias numa cordaDeterminacao da velocidade do SomEfeito DopplerCubas de ondas: difracao, refracao, interferenciaOscilacoes bidimensionais em membranas e modos de vibracao.

Disciplina:FISICA MATEMATICA B; Codigo: IFD0023; Pre requisitos: ( ( IFD0017 ) OU ( IFD0198 ) OU ( MAT0059 ) OU ( MAT0039 ) OU ( IFD0296 ) ); Unidade responsavel: INSTITUTO DE FISICA; Ementa: Espacos de HilbertAnalise complexaTensores em variedadesGrupos e simetrias

Disciplina:MECANICA QUANTICA A; Codigo: IFD0024; Pre requisitos: ( ( IFD0250 OU IFD0015 ) E ( IFD0018 OU IFD0098 OU IFD0256 ) E ( MAT0029 OU MAT0031 OU IFD0017 OU IFD0252 OU IFD0296 OU IFD0059 ) ); Unidade responsavel: INSTITUTO DE FISICA; Ementa: Resumo das deias basicas da mecanica quantica.O formalismo da mecanica quantica.Os postulados da mecanica quantica.Sistemas simples: sistemas de dois niveis, o oscilador harmonico.Momento angular e potenciais centrais.

Disciplina:TEORIA ELETROMAGNETICA A; Codigo: IFD0025; Pre requisitos: ( IFD0055 OU IFD0422 OU IFD0224 OU IFD0179 ); Unidade responsavel: INSTITUTO DE FISICA; Ementa: Eletrostatica: lei de Coulomb, campo e potencial eletrostatico, campos em materiais dieletricos, capacitores, energia eletrostatica Magnetostatica: Corrente eletrica estacionaria, Campo Magnetico, Campos magneticos em materiais magnetizaveis, energia magnetostatica Eletrodinamica: inducao eletromagnetica, equacoes de Maxwell, leis de conservacao.

Disciplina:LABORATORIO DE ELETROMAGNETISMO A; Codigo: IFD0026; Pre requisitos: ( ( IFD0010 ) ); Unidade responsavel: INSTITUTO DE FISICA; Ementa: Serao selecionados X experimentos da lista abaixo:Razao Carga/massa do eletronTubo de raios catodicosForca magnetica em condutoresDistribuicao de Campos magneticosLinhas de campos e superficies equipotenciaisInducao magneticaRessonancia em circuitos RLCMagnetizacao em funcao da temperaturaMagnetometriaCorrentes de Eddy e freio magnetico.

Disciplina:LABORATORIO DE TERMODINAMCIA E FISICA ESTATISTICA; Codigo: IFD0027; Pre requisitos: ( IFD0010 ); Unidade responsavel: INSTITUTO DE FISICA; Ementa: Serao selecionados X experimentos da lista abaixo:Calor especifico dos solidosCalor latente de fusaoResfriamento de NewtonPressao de vapor e equilibrio de fasesGas real e ponto criticoMotor de StirlingDistribuicao de densidade de particulas em suspensaoDistribuicao de velocidades de MaxwellTensao superficialDeterminacao da razao Cp/cv de gases.

Disciplina:TEORIA ELETROMAGNETICA B; Codigo: IFD0029; Pre requisitos: ( ( IFD0025 ) OU ( IFD0074 ) OU ( IFD0254 ) ); Unidade responsavel: INSTITUTO DE FISICA; Ementa: Ondas eletromagneticas: propagacao no vacuo, propagacao em meios materiais, absorcao e dispersao e guia de ondas Campos e potenciais: potenciais escalares e vetoriais, potenciais de Lienard-Wiechert Radiacao: radiacao de dipolo, radiacao de cargas pontuais Formulacao relativistica da eletrodinamica: teoria especial da relatividade, mecanica relativistica, eletrodinamica relativistica.

Disciplina:MECANICA QUANTICA B; Codigo: IFD0030; Pre requisitos: ( ( IFD0024 E IFD0100 ) ); Unidade responsavel: INSTITUTO DE FISICA; Ementa: Spin, adicao de momentos angulares e particulas identicas.Perturbacoes independentes do tempoPerturbacoes dependentes do tempoEspalhamentoEquacao de Dirac

Disciplina:TERMODINAMICA E FISICA ESTATISTICA; Codigo: IFD0031; Pre requisitos: ( ( IFD0013 OU IFD0175 OU IFD0217 OU IFD0078 ) E ( MAT0026 OU IFD0012 ) ); Unidade responsavel: INSTITUTO DE FISICA; Ementa: .

Disciplina:FISICA DO ESTADO SOLIDO B; Codigo: IFD0042; Pre requisitos: ( IFD0048 OU IFD0018 ); Unidade responsavel: INSTITUTO DE FISICA; Ementa: MetaisPropriedades opticasPropriedades magneticasSuperficies e interfacesPropriedades mecanicasNanoestruturas.

Disciplina:FISICA DO ESTADO SOLIDO A; Codigo: IFD0048; Pre requisitos: ( IFD0018 ); Unidade responsavel: INSTITUTO DE FISICA; Ementa: Estrutura Cristalina, Difracao de Raios-x e Rede ReciprocaLigacoes quimicas e constantes elasticasVibracoes da rede e propriedades termicas dos solidosModelos de conducao eletronicaEletrons em potenciais periodicosSemicondutores.

Disciplina:METODOS COMPUTACIONAIS B; Codigo: IFD0054; Pre requisitos: ( ( IFD0020 ) ); Unidade responsavel: INSTITUTO DE FISICA; Ementa: Estatistica e modelacao de dados, metodos de interpolacao e extrapolacao, ajuste de curvas. Analise de Fourier, metodos iterativos e metodos estocasticos.Metodos de diferencas finitas e equacoes diferenciais parciais.

Disciplina:ELETROMAGNETISMO; Codigo: IFD0055; Pre requisitos: ( IFD0013 OU IFD0420 ); Unidade responsavel: INSTITUTO DE FISICA; Ementa: Lei de Coulomb, campo eletrico, potencial eletrostatico, dieletricos.Corrente eletrica. Campo magnetico, lei de Ampere.Inducao.Circuitos. Magnetismo na materia. Equacoes de Maxwell, ondas eletromagneticas. Polarizacao da luz

Disciplina:PROJETO DE TRABALHO DE CONCLUSAO DE CURSO; Codigo: IFD0057; Pre requisitos: -; Unidade responsavel: INSTITUTO DE FISICA; Ementa: a definir

