departamento_id,disciplina,codigo,unidade_responsavel,pre_requisitos,ementa
640, PLANEJAMENTO E AVALIACAO SOCIOAMBIENTAL,CDS0001 ,CENTRO DE DESENVOLVIMENTO SUSTENTAVEL ,( ( CDS0010 ) ),"O objetivo do curso e identificar e analisar as praticas, normas e indicadores que orientam a implantacao de empreendimentos ou acoes que causam impactos socioambientais. Serao apresentados os instrumentos de planejamento e avaliacao de impactos, os seus conceitos, o historico e a evolucao das ferramentas, bem como, a legislacao e as normas que incidem sobre o processo de avaliacao socioambiental."
640, GOVERNANCA AMBIENTAL,CDS0006 ,CENTRO DE DESENVOLVIMENTO SUSTENTAVEL ,( ( CDS0007 E ECO0262 ) OU ( CDS0008 ) OU ( ECO0261 ) OU ( ECO0275 ) OU ( CDS0014 ) OU ( CDS0001 ) ),
640, INTRODUCAO AO DESENVOLVIMENTO SUSTENTAVEL,CDS0007 ,CENTRO DE DESENVOLVIMENTO SUSTENTAVEL ,-,"A disciplina foi desenhada para apresentar os principais debates relacionados ao tema do Desenvolvimento Sustentavel (DS), de forma compreensivel e util para as diversas areas do conhecimento, bem como demonstrar a necessidade da interdisciplinaridade no trato das questoes ambientais. Sao considerados aspectos conceituais, tematicos, analiticos e institucionais, bem como algumas ferramentas e instrumentos fundamentais para a implementacao de acoes e praticas que tenham o DS como objetivo. De forma critica, o curso salienta os temas mais importantes da interacao sociedade-natureza e das suas relacoes com as principais problematicas atuais. O curso e realizado por meio de aulas expositivas ministradas pelos professores do Programa de Pos-graduacao em Desenvolvimento Sustentavel do CDS/UnB e utiliza-se de recursos audiovisuais e dinamicas de grupo para discussao das tematicas abordadas, bem como de visitas tecnicas de campo."
640," MEIO AMBIENTE, CULTURA E SOCIEDADE",CDS0008 ,CENTRO DE DESENVOLVIMENTO SUSTENTAVEL ,( ( CDS0007 ) ),": A disciplina busca ampliar o conhecimento da literatura classica e oferecer instrumentacao conceitual para que os alunos possam (re) interpretar criticamente fenomenos caracteristicos da modernidade sobre a perspectiva da sustentabilidade, assim como aprofundar a analise dos fundamentos que colocam em discussao a relacao entre sociedade, cultura e natureza."
640, TRABALHO INTERDISCIPLINAR INTEGRADO 1,CDS0010 ,CENTRO DE DESENVOLVIMENTO SUSTENTAVEL ,( ( ECO0261 E CDS0007 ) ),"Objetivos: Apresentar aos estudantes os principios do trabalho de extensao em geral e na area ambiental, em particular.  Ao planejar e executar acoes de extensao na area ambiental, os estudantes devem explicitar qual a relevancia para a comunidade, a relacao custo beneficio, a viabilidade e as implicacoes. As diferentes modalidades de extensao serao abordadas. Os alunos deverao ser capacitados a explicitar problemas e formular solucoes de forma independente. Conceitualmente, o trabalho devera possibilitar a integracao horizontal e vertical das areas de conhecimento, concomitantemente ao avanco do estudante ao longo do Curso. Nessa abordagem inicial, os alunos deverao elaborar projeto de extensao que inclui um documento com detalhamento do planejamento e da realizacao ordenada de todas as atividades. A atividade de extensao escolhida sera ""mini-curso"". A atividade devera ser conduzida pelos alunos no final do semestre com temas na area ambiental para audiencias diversificadas a serem definidas ao longo do periodo de atividade."
640, SISTEMAS SOCIOAMBIENTAIS E COMPLEXIDADE,CDS0011 ,CENTRO DE DESENVOLVIMENTO SUSTENTAVEL ,( ( CDS0008 ) ),"A disciplina procura analisar e discutir, a partir de uma perspectiva das ciencias naturais, os conceitos e metodologias para melhor compreender as complexas interacoes entre os varios componentes dos sistemas socioambientais (biofisico, socioeconomico, politico e cultural). Esta discussao se apoiara na analise das relacoes entre as propriedades emergentes dos sistemas e os conceitos da complexidade. Espera-se tambem qualificar os alunos e as alunas para analisar situacoes socioambientais complexas e contribuir para a definicao de estrategias de gestao participativa dos sistemas socioambientais, da escala local ate a escala global, voltada para construcao de solucoes integradas que promovam a melhoria das condicoes de vida das populacoes e a sustentabilidade dos ecossistemas."
640, TEORIAS DO DESENVOLVIMENTO,CDS0014 ,CENTRO DE DESENVOLVIMENTO SUSTENTAVEL ,( ( CDS0008 ) ),"Os padroes historicos de industrializacao e desenvolvimento capitalista e a emergencia das Teorias do Desenvolvimento Economico.O crescimento economico na perspectiva dos economistas classicos, a construcao do mainstream da teoria do Desenvolvimento Economico, e abordagens criticas heterodoxas.O Paradigma Estruturalista da CEPAL e sua critica, teorias da dependencia e do desenvolvimento capitalista tardio.Temas em Teoria do Desenvolvimento Economico no atual contexto do processo de globalizacao: Meio-ambiente e Desenvolvimento Sustentavel, Desenvolvimento Local e Desenvolvimento Territorial, Democracia e Liberdade, Neoliberalismo e Neodesenvolvimentismo."
640, EDUCACAO E MEIO AMBIENTE,CDS0016 ,CENTRO DE DESENVOLVIMENTO SUSTENTAVEL ,( ( CDS0007 ) ),"O curso provoca uma reflexao sobre os desafios socioambientais dos tempos atuais, abordando os fundamentos do pensamento ambiental, em uma perspectiva historica, as ideias de crise, mudanca de paradigma e sustentabilidade em articulacao com conceitos de educacao e meio ambiente. Sao utilizados os eixos filosoficos e conceituais para a insercao da dimensao educativa nos processos socioambientais. O objetivo e compreender as principais questoes ambientais inseridas e contextualizadas em suas dimensoes: economica, politica, social e cultural. Os objetivos especificos sao:	Refletir sobre os saberes e valores que orientam projetos e praticas de educacao ambiental	Identificar o estado da arte no campo da educacao ambiental: formacao e tendencias atuais 	Discutir e experimentar metodologias de educacao ambiental 	                Mudanca de paradigma: complexidade, transdisciplinaridade e educacao	A formacao dos educadores ambientais, redes de educacao ambiental e experiencias de EA no Brasil."
640, PRATICAS EM DESENVOLVIMENTO SUSTENTAVEL,CDS0020 ,CENTRO DE DESENVOLVIMENTO SUSTENTAVEL ,( ( CDS0008 ) OU ( CDS0007 E ECL0033 ) ),"Desenvolvimento de um projeto de pesquisa, envolvendo trabalho teorico ou experimental, sob orientacao de docentes do curso de ciencias ambientais, a ser desenvolvido nas dependencias do(s) laboratorio(s) do IB, IQ, IG, FACE, CDS ou em Instituicoes credenciadas pela UnB. Nesse estagio o aluno desenvolvera as  habilidades necessarias a formacao de um pesquisador atuante nas Ciencias Ambientais, com foco em sustentabilidade. A realizacao das atividades e conducao da disciplina ficara a cargo do CDS, com a possibilidade de colaboracao de outras Unidades consorciadas do curso de graduacao em Ciencias Ambientais."
640, TOPICOS ESPECIAIS EM DESENVOLVIMENTO SUSTENTAVEL 2,CDS0042 ,CENTRO DE DESENVOLVIMENTO SUSTENTAVEL ,-,"A disciplina pretende apresentar o que temos de mais contemporaneo nos debates nacionais e internacionais em relacao ao conceito de desenvolvimento sustentavel. Abordara temas contemporaneos dentro deste campo, como: justica ambiental, racismo, desigualdade, comunicacao para o clima, juventude e movimentos sociais, sustentabilidade urbana, transporte e mobilidade ativa, clima e energia. Por meio de metodologias teoricas e/ou empiricas pretende-se desenvolver capacidades reflexivas a seus interessados/as, que os/as ajudem a tomarem decisao no caminho de um desenvolvimento de cunho ambiental, cultural, social e economicamente sustentavel."
