codigo,nome,turma,docente,horario,qnt_vagas,local,departamento_id
CDS0004,CDS0004 - AGRICULTURA E MEIO AMBIENTE,01,AMANDA FREDERICO MORTATI ,5T2345 ,30,CDS,640
CDS0007,CDS0007 - INTRODUÇÃO AO DESENVOLVIMENTO SUSTENTÁVEL,01,ALEXANDRE BETINARDI STRAPASSON ,35N34 ,40,BSA S,640
CDS0007,CDS0007 - INTRODUÇÃO AO DESENVOLVIMENTO SUSTENTÁVEL,02,MAURO GUILHERME MAIDANA CAPPELLARO ,36N12 ,50,FT,640
CDS0008,"CDS0008 - MEIO AMBIENTE, CULTURA E SOCIEDADE",01,DORIS ALEIDA VILLAMIZAR SAYAGO ,35N34 ,40,BSA S,640
CDS0010,CDS0010 - TRABALHO INTERDISCIPLINAR INTEGRADO 1,01,AMANDA FREDERICO MORTATI ,6N34 ,30,BSA S,640
CDS0011,CDS0011 - SISTEMAS SOCIOAMBIENTAIS E COMPLEXIDADE,01,FREDERIC ADELIN GEORGES MERTENS ,6T2345 ,25,CDS,640
CDS0012,CDS0012 - POLÍTICAS PÚBLICAS E MEIO AMBIENTE,01,ANA KARINE PEREIRA ,35N34 ,30,BSA S,640
CDS0013,CDS0013 - POPULAÇÃO E MEIO AMBIENTE,01,MONICA CELEIDA RABELO NOGUEIRA ,35N12 ,25,BSA S,640
CDS0015,CDS0015 - INDICADORES DE DESENVOLVIMENTO SUSTENTÁVEL,01,DIEGO PEREIRA LINDOSO ,35N12 ,25,BSA S,640
CDS0019,CDS0019 - PRÁTICA DE PESQUISA 1,01,MAURICIO DE CARVALHO AMAZONAS ,35N34 ,25,BSA S,640
FCTE0004,FCTE0004 - MATEMÁTICA PARA COMPETIÇÕES,01,EDSON ALVES DA COSTA JUNIOR ,35T6 35N1 ,80,FCTE - S10,673
FGA0003,FGA0003 - COMPILADORES 1,01,SERGIO ANTONIO ANDRADE DE FREITAS ,24T23 ,80,FCTE - S2 / I9,673
FGA0003,FGA0003 - COMPILADORES 1,02,FABIO MACEDO MENDES ,46T45 ,80,FCTE - S3,673
