Disciplina:COMPUTACAO EM ESTATISTICA 1; Codigo: EST0001; Unidade responsavel: DEPTO ESTATISTICA; Ementa: Entrada e manipulacao de base de dados e estatistica descritiva usando R.

Disciplina:ESTATISTICA COMPUTACIONAL; Codigo: EST0004; Unidade responsavel: DEPTO ESTATISTICA; Ementa: Introducao. Geracao de numeros aleatorios e simulacao. Estimacao e teste de hipoteses. Nocoes de metodos MCMC (simulacao dinamica). Otimizacao Numerica.

Disciplina:INFERENCIA BAYESIANA; Codigo: EST0005; Unidade responsavel: DEPTO ESTATISTICA; Ementa: Teorema de Bayes. Distribuicoes a Priori e a Posteriori. Distribuicoes a Priori Conjugadas. Funcao Perda. Estimadores de Bayes. Testes Bayesianos. Computacao Bayesiana.

Disciplina:MODELOS LINEARES GENERALIZADOS; Codigo: EST0011; Unidade responsavel: DEPTO ESTATISTICA; Ementa: Revisao de alguns resultados de Inferencia Estatistica e Probabilidade. Introducao aos MLG. Metodos de Estimacao e Algoritmos. Medidas de Qualidade de Ajuste. Testes de Hipoteses e Selecao de Modelos. Analise de Residuos e Diagnosticos. Analise de Dados Normais. Analise de Dados Binarios e Proporcoes. Analise de Dados de Contagem. Modelos para Tabelas de Contingencia. Analise de Dados com Sobredispersao. Extensoes dos MLG.

Disciplina:METODOS ESTATISTICOS 2; Codigo: EST0017; Unidade responsavel: DEPTO ESTATISTICA; Ementa: Metodos parametricos e nao parametricos - Estimacao e testes baseados na binomial. Analise de tabelas de contingencia com testes qui quadrado. Testes de ajustamento. Teste de hipoteses para varias medias- ANOVA. Testes baseados em postos (Mann- Whitney, Kruskal-Wallis, Wilcoxon para postos sinalizados, Friedman)

Disciplina:ESTATISTICA APLICADA; Codigo: EST0019; Unidade responsavel: DEPTO ESTATISTICA; Ementa: CONCEITOS BASICOS - DISTRIBUICAO DE FREQUENCIAS E SUAS CARACTERISTICAS - INTRODUCAO A PROBABILIDADE - AJUSTAMENTO DE FUNCOES REAIS - CORRELACAO E REGRESSAO LINEAR - NOCOES DE AMOSTRAGEM E TESTES DE HIPOTESE.

Disciplina:PROBABILIDADE E ESTATISTICA; Codigo: EST0023; Unidade responsavel: DEPTO ESTATISTICA; Ementa: Analise Descritiva, Calculo de Probabilidades, Variaveis Aleatorias Discretas, Variaveis Aleatorias Continuas, Variaveis Aleatorias Multidimensionais, Nocoes de Amostragem e Estimacao, Testes de Hipoteses.

Disciplina:BIOESTATISTICA; Codigo: EST0027; Unidade responsavel: DEPTO ESTATISTICA; Ementa: ESTATISTICA DESCRITIVA. NOCOES DE PROBABILIDADE. PRINCIPAIS MODELOS DISCRETOS E CONTINUOS. AJUSTAMENTO DE MODELOS PROBABILISTICOS. NOCOES DE AMOSTRAGEM E ESTIMACAO. NOCOES DE TESTES DE HIPOTESES. ANALISE DE VARIANCIA: CLASSIFICACAO SIMPLES. CORRELACAO E REGRESSAO LINEAR. NOCOES SOBRE EXPERIMENTOS E LEVANTAMENTOS.

Disciplina:ESTATISTICA EXPLORATORIA; Codigo: EST0033; Unidade responsavel: DEPTO ESTATISTICA; Ementa: A Estatistica no Brasil. Fases do Trabalho Estatistico. Elaboracao de Tabelas e Graficos. Medidas Descritivas Unidimensionais. Medidas Bi-dimensionais (Pearson, Spearman, Qui-quadrado, Contigencia modificado e Cramer). Introducao a um Pacote Estatistico.

Disciplina:INFERENCIA ESTATISTICA; Codigo: EST0035; Unidade responsavel: DEPTO ESTATISTICA; Ementa: Distribuicoes amostrais de probabilidade. Metodos de estimacao. Propriedades de estimadores. Suficencia. Estimacao intervalar. Testes de Hipoteses.

Disciplina:TECNICAS DE AMOSTRAGEM; Codigo: EST0036; Unidade responsavel: DEPTO ESTATISTICA; Ementa: Amostra Aleatoria simples, estratificada, sistematica e por conglomerados. Probabilidades desiguais de selecao. Variaveis auxiliares. Aplicacoes.

Disciplina:ANALISE DE REGRESSAO LINEAR; Codigo: EST0038; Unidade responsavel: DEPTO ESTATISTICA; Ementa: Formas Quadraticas. Regressao Linear Simples. Regressao Linear Multipla. Metodos para selecao de variaveis. Diagnosticos. Aplicacoes

Disciplina:DELINEAMENTO E ANALISE DE EXPERIMENTOS; Codigo: EST0042; Unidade responsavel: DEPTO ESTATISTICA; Ementa: Delineamento de Experimentos. Delineamento Inteiramente Casualizado. Delineamento em Blocos Casualizados. Quadrado Latino. Experimentos Fatoriais. Aplicacoes.

Disciplina:DEMOGRAFIA; Codigo: EST0046; Unidade responsavel: DEPTO ESTATISTICA; Ementa: Fontes de dados. Diagrama de Lexis. Indicadores de Mortalidade, Fecundidade e Migracao. Padronizacao de dados demograficos. Ajuste de dados demograficos. Piramides populacionais. Modelos de populacao. Projecao de populacao.

Disciplina:PROCESSOS ESTOCASTICOS; Codigo: EST0048; Unidade responsavel: DEPTO ESTATISTICA; Ementa: TEOREMAS DE LIMITES - ESPERANCAS E DISTRIBUICOES CONDICIONADAS PROCESSOS ESTOCASTICOS - PROCESSOS ESTACIONARIOS - CADEIAS DE MARKOV EQUACOES DE CHAPMAN - KOLMOGOROV - PROCESSOS DE POISSON E DE RAMIFICA- CAO - MODELOS EXPONENCIAIS - GENERALIZACAO DE ESPACOS DE ESTADOS TEORIA DE RENOVACAO - APLICACOES.

Disciplina:ANALISE DE SERIES TEMPORAIS; Codigo: EST0051; Unidade responsavel: DEPTO ESTATISTICA; Ementa: Conceitos Basicos. Exemplos. Objetivos. Analise Descritiva em Series Temporais. Estacionariedade. Processos ARMA e ARIMA. Identificacao. Estimacao. Previsao. Aplicacoes Especiais.

Disciplina:ANALISE DE DADOS CATEGORIZADOS; Codigo: EST0064; Unidade responsavel: DEPTO ESTATISTICA; Ementa: Tabelas de contingencia Bidimensionais. Tabelas de Contingencia Tridimensionais. Modelos para Variaveis com Resposta Binarias. Modelos Log-Lineares. Regressao de Poisson.

Disciplina:INTRODUCAO A PROBABILIDADE; Codigo: EST0069; Unidade responsavel: DEPTO ESTATISTICA; Ementa: Teoria Classica da Probabilidade. Variavel Aleatoria Unidimensional. Variavel Aleatoria Discreta Bidimensional. Modelos Probabilisticos Discretos, Distribuicoes continuas, Normal e t-Student.

Disciplina:METODOS ESTATISTICOS 1; Codigo: EST0070; Unidade responsavel: DEPTO ESTATISTICA; Ementa: Populacao e amostra, distribuicoes amostrais. Propriedades dos estimadores. Conceitos basicos de estimacao via metodos dos momentos, minimos quadrados e maxima verossimilhanca. Intervalos de confianca para a media e proporcao populacionais. Testes de hipoteses para media, proporcao e variancia. Testes de hipoteses para a igualdade de medias e igualdade de variancias. Testes de independencia e de aderencia. Correlacao e regressao.

Disciplina:TRABALHO DE CONCLUSAO DE CURSO 1; Codigo: EST0081; Unidade responsavel: DEPTO ESTATISTICA; Ementa: O Estagio Supervisionado 1 consiste em definir um problema relevante em Estatistica, na elaboracao de uma proposta de projeto para resolve-lo, e iniciar o desenvolvimento do mesmo, incluindo, quando for o caso, a coleta de dados.

Disciplina:ANALISE DE SOBREVIVENCIA; Codigo: EST0086; Unidade responsavel: DEPTO ESTATISTICA; Ementa: Natureza dos dados temporais. Tipos de Censuras. Estimadores nao parametricos da funcao de sobrevivencia. Principais modelos parametricos. Regressao parametrica para dados temporais. Modelos de tempos de vida acelerados. O modelo de regressao de Cox. Modelo de riscos aditivos de Aalen.

Disciplina:PRATICAS DE EXTENSAO EM ESTATISTICA 2; Codigo: EST0088; Unidade responsavel: DEPTO ESTATISTICA; Ementa: Promover a expansao e o acesso dos conhecimentos em Estatistica para a sociedade. Os estudantes serao, nesta disciplina, protagonistas, sob a orientacao docente. As atividades serao direcionadas aos aspectos cientificos, tecnologicos, sociais e ambientais da estatistica, contribuindo, assim, para a promocao do conhecimento e da cidadania.

Disciplina:COMPUTACAO EM ESTATISTICA 2: R; Codigo: EST0091; Unidade responsavel: DEPTO ESTATISTICA; Ementa: Programacao em software estatistico disponivel no Departamento de Estatistica (EST), para manipulacao e analise exploratoria de dados.

