departamento_id,disciplina,codigo,unidade_responsavel,ementa
640, AGRICULTURA E MEIO AMBIENTE,CDS0004 ,CENTRO DE DESENVOLVIMENTO SUSTENTAVEL ,"O objetivo deste curso e proporcionar um entendimento basico da historia da agricultura e sua relacao com o meio ambiente, assim como ferramentas introdutorias de analise de agroecossistemas quanto as suas caracteristicas funcionais, produtivas e impactos ambientais."
640, INTRODUCAO AO DESENVOLVIMENTO SUSTENTAVEL,CDS0007 ,CENTRO DE DESENVOLVIMENTO SUSTENTAVEL ,"A disciplina foi desenhada para apresentar os principais debates relacionados ao tema do Desenvolvimento Sustentavel (DS), de forma compreensivel e util para as diversas areas do conhecimento, bem como demonstrar a necessidade da interdisciplinaridade no trato das questoes ambientais. Sao considerados aspectos conceituais, tematicos, analiticos e institucionais, bem como algumas ferramentas e instrumentos fundamentais para a implementacao de acoes e praticas que tenham o DS como objetivo. De forma critica, o curso salienta os temas mais importantes da interacao sociedade-natureza e das suas relacoes com as principais problematicas atuais. O curso e realizado por meio de aulas expositivas ministradas pelos professores do Programa de Pos-graduacao em Desenvolvimento Sustentavel do CDS/UnB e utiliza-se de recursos audiovisuais e dinamicas de grupo para discussao das tematicas abordadas, bem como de visitas tecnicas de campo."
640," MEIO AMBIENTE, CULTURA E SOCIEDADE",CDS0008 ,CENTRO DE DESENVOLVIMENTO SUSTENTAVEL ,": A disciplina busca ampliar o conhecimento da literatura classica e oferecer instrumentacao conceitual para que os alunos possam (re) interpretar criticamente fenomenos caracteristicos da modernidade sobre a perspectiva da sustentabilidade, assim como aprofundar a analise dos fundamentos que colocam em discussao a relacao entre sociedade, cultura e natureza."
640, TRABALHO INTERDISCIPLINAR INTEGRADO 1,CDS0010 ,CENTRO DE DESENVOLVIMENTO SUSTENTAVEL ,"Objetivos: Apresentar aos estudantes os principios do trabalho de extensao em geral e na area ambiental, em particular.  Ao planejar e executar acoes de extensao na area ambiental, os estudantes devem explicitar qual a relevancia para a comunidade, a relacao custo beneficio, a viabilidade e as implicacoes. As diferentes modalidades de extensao serao abordadas. Os alunos deverao ser capacitados a explicitar problemas e formular solucoes de forma independente. Conceitualmente, o trabalho devera possibilitar a integracao horizontal e vertical das areas de conhecimento, concomitantemente ao avanco do estudante ao longo do Curso. Nessa abordagem inicial, os alunos deverao elaborar projeto de extensao que inclui um documento com detalhamento do planejamento e da realizacao ordenada de todas as atividades. A atividade de extensao escolhida sera ""mini-curso"". A atividade devera ser conduzida pelos alunos no final do semestre com temas na area ambiental para audiencias diversificadas a serem definidas ao longo do periodo de atividade."
640, SISTEMAS SOCIOAMBIENTAIS E COMPLEXIDADE,CDS0011 ,CENTRO DE DESENVOLVIMENTO SUSTENTAVEL ,"A disciplina procura analisar e discutir, a partir de uma perspectiva das ciencias naturais, os conceitos e metodologias para melhor compreender as complexas interacoes entre os varios componentes dos sistemas socioambientais (biofisico, socioeconomico, politico e cultural). Esta discussao se apoiara na analise das relacoes entre as propriedades emergentes dos sistemas e os conceitos da complexidade. Espera-se tambem qualificar os alunos e as alunas para analisar situacoes socioambientais complexas e contribuir para a definicao de estrategias de gestao participativa dos sistemas socioambientais, da escala local ate a escala global, voltada para construcao de solucoes integradas que promovam a melhoria das condicoes de vida das populacoes e a sustentabilidade dos ecossistemas."
640, POLITICAS PUBLICAS E MEIO AMBIENTE,CDS0012 ,CENTRO DE DESENVOLVIMENTO SUSTENTAVEL ,"O curso parte de uma retrospectiva historica sobre a formacao e o papel do Estado moderno, estuda a evolucao da relacao entre aumento das atribuicoes do poder publico e o crescimento das estruturas estatais, investiga a genese e o desenvolvimento das politicas publicas de natureza social, analisa o contexto do surgimento do planejamento governamental como processo, avalia a crise atual do Estado e discute, a luz das tendencias internacionais e das caracteristicas nacionais, os rumos das politicas publicas. As politicas ambientais sao apresentadas como um momento na evolucao da regulacao publica, quando o Estado passa a ter tambem a atribuicao de assegurar um ambiente adequado a sociedade."
640, POPULACAO E MEIO AMBIENTE,CDS0013 ,CENTRO DE DESENVOLVIMENTO SUSTENTAVEL ,"As relacoes homem-natureza englobam tres dimensoes basicas: o mundo biofisico, o mundo humano e suas estruturas sociais e o relacionamento dinamico e interdependente entre esses dois mundos. A disciplina busca apresentar bases praticas e teoricas para entender esse terceiro ponto, a parte relacional, em suas diferentes abordagens. Assim, o objetivo da disciplina e o estudo das interacoes entre dinamica populacional, meio ambiente e desenvolvimento sustentavel. Serao alternados diferentes recursos formativos, entre aulas expositivas leitura e discussao dos textos-base trabalhos em grupos de estudo dirigido exibicao e discussao de videos seminarios de apresentacao de textos/documentos entre outros."
640, INDICADORES DE DESENVOLVIMENTO SUSTENTAVEL,CDS0015 ,CENTRO DE DESENVOLVIMENTO SUSTENTAVEL ,"O objetivo da disciplina e oferecer uma revisao das principais abordagens relacionadas a avaliacao da sustentabilidade do desenvolvimento, as premissas conceituais e metodologicas adotadas por algumas correntes de pensamento no campo das ciencias socioambientais e economicas e seus reflexos na percepcao da sustentabilidade por parte do meio academico, da midia, das organizacoes e da sociedade em geral. A disciplina ira debater em que medida os diversos indicadores existentes auxiliam na elaboracao e conducao das politicas publicas. Como isso pode ser mensurado e avaliado. Qual a importancia de construcao e utilizacao dos indicadores relacionados as questoes da sustentabilidade. Introduz-se, tambem, as principais abordagens utilizadas para agregacao dos indicadores de sustentabilidade sob forma de indices, ressaltando a importancia da relacao entre suas quatro dimensoes: institucional, economica, social e ecologica. Preve-se que os alunos matriculados na disciplina sairao dela com conhecimento metodologico, substantivo e aplicado sobre os indicadores de desenvolvimento sustentavel, e outros sistemas de indicadores comumente usados, referentes as diversas dimensoes da realidade social e economica, de modo a aplica-lo em seus trabalhos academicos e tecnicos."
640, PRATICA DE PESQUISA 1,CDS0019 ,CENTRO DE DESENVOLVIMENTO SUSTENTAVEL ,"O curso visa preparar os alunos para elaborar e realizar projetos de pesquisa, explorando problemas que podem ser tratados como objetivos de pesquisa. Sera feita uma iniciacao as discussoes epistemologicas e metodologicas de pesquisa interdisciplinar em Ciencias Ambientais, e os principais tipos e modalidades de pesquisa. Serao apresentados e treinados juntos aos alunos, por meio de exercicios de construcao de raciocinio logico, os principais conceitos e categorias do processo de pesquisa: problema, pergunta/objetivo, hipoteses. Os diferentes metodos, tecnicas e praticas de pesquisa, e respectivas formas de levantamento, analise e interpretacao dos dados. Exercicios por meio de ferramentas para levantamento de dados e interpretacao de informacoes pertinentes ao(s) problema(s) estudado(s): bibliografia, dados estatisticos, entrevistas e questionarios, etc. Por fim, serao tratados os aspectos referentes a redacao do trabalho cientifico, em termos de modalidades e normas de redacao."
640, COMUNICACAO SOCIOAMBIENTAL,CDS0035 ,CENTRO DE DESENVOLVIMENTO SUSTENTAVEL ,"Coleta, organizacao e divulgacao, para publico leigo, de resultados de pesquisa, fatos historicos, biografias, legislacao, planos, programas, politicas ambientais e atividades desenvolvidas no ambito do curso de Ciencias Ambientais. Elaboracao de campanhas de sensibilizacao publica. Desenvolvimento de ferramentas de comunicacao. Criacao e alimentacao de redes sociais, paginas web, canais no Youtube e Podcast, entre outros."
314, PLANEJAMENTO E GESTAO EM TURISMO 1,CET0001 ,CENTRO DE EXCELENCIA EM TURISMO ,Historico do planejamento na sociedade. Os diferentes modelos de planejamento. Retrospectiva dos planos e programas de planejamento do turismo no Brasil.Metodologia de planejamento - fases de um processo de planificacao. Metodologia para a formulacao de problemas. Planejamento Estrategico Situacional. Politicas e estrategias de desenvolvimento regional para o Turismo-planificacao estrategica e participativa. Limites e possibilidades do planejamento turistico para um  desenvolvimento sustentavel.
314, LEGISLACAO TURISTICA,CET0002 ,CENTRO DE EXCELENCIA EM TURISMO ,Marcos e instrumentos legais que orientam e normatizam o Turismo e as relacoes de consumo: legislacao turistica e principais legislacoes correlatas.
314, PLANEJAMENTO E GESTAO EM TURISMO 2,CET0005 ,CENTRO DE EXCELENCIA EM TURISMO ,"Indicadores turisticos, planejamento e tomada de decisao. Avaliacao de impactos no turismo. Ciclo de vida das destinacoes turisticas e o processo de planejamento. Elaboracao de planos de desenvolvimento turistico, publicos e privados: avaliacao e hierarquizacao dos atrativos diagnostico prognostico proposicoes e avaliacao. Integracao e disponibilizacao de informacoes."
314, FUNDAMENTOS DE ESTATISTICA APLICADO AO TURISMO,CET0006 ,CENTRO DE EXCELENCIA EM TURISMO ,"Fundamentos, teorias e recursos da Estatistica como ferramenta sistematizadora e analitica no estudo do Turismo. Diferencas e ambitos da Estatistica como metodo cientifico."
314, PROJETO INTEGRADOR EM TURISMO 3,CET0007 ,CENTRO DE EXCELENCIA EM TURISMO ,Contextualizacao e articulacao dos conteudos ministrados no curso de graduacao em turismo. Construcao e realizacao de projetos e atividades interdisciplinares. O carater multidisciplinar do turismo. Producao e apresentacao de projetos e trabalhos cientificos na area do Turismo e Hospitalidade. Estudo de caso: O Turismo em Pirenopolis.
314, SEMINARIOS EM TURISMO 2,CET0010 ,CENTRO DE EXCELENCIA EM TURISMO ,"I - EMENTA: Turismo e suas multiplas interfaces com outras areas de conhecimento e setores politicos, sociais, economicos, ambientais e culturais."
314, ENOTURISMO,CET0012 ,CENTRO DE EXCELENCIA EM TURISMO ,Conceito e caracteristicas de Enoturismo Uma sintese da historia do vinho O mundo do    vinho na atualidade O Enoturismo como produto turistico no mundo e no Brasil Estudo das motivacoes dos consumidores do Enoturismo. Breve passeio pelo sabores do vinho.
314, PESQUISA EM TURISMO,CET0013 ,CENTRO DE EXCELENCIA EM TURISMO ,"A construcao do objeto de pesquisa no Turismo. Principais questoes relativas a metodologia de pesquisa. Diferentes metodos de pesquisa, de acordo com as especificidades do objeto de estudo. A producao cientifica e a construcao do conhecimento em turismo. Identificacao e aplicacao de elementos de natureza epistemologica e tecnica tomados como referenciais para reflexoes, decisoes e acoes nos diferentes campos de atuacao profissional."
314, ESTRUTURACAO E PROMOCAO DE DESTINOS,CET0014 ,CENTRO DE EXCELENCIA EM TURISMO ,"Caracterizacao de destinos e produtos. A imagem de destinos em funcao dos estudos de demanda e da especializacao de mercado. Aspectos de promocao, publicidade, comercializacao e comunicacao no contexto do turismo: papeis e responsabilidades - da estruturacao a comercializacao. Plano de Marketing e ciclo de vida de destino turisticos.OBJETIVOS Geral: Aportar elementos teoricos e praticos que possibilitem a compreensao dos processos de estruturacao e promocao de destinos sob uma visao sistemica dos elementos constitutivos do turismo.Especificos:- Conhecer as bases de um planejamento estrategico de marketing e suas etapas- Contextualizar o Marketing Turistico no planejamento de destinos- Conhecer e analisar os principios, estrategias e principais modelos de estruturacao e    promocao de destinos e as funcoes e responsabilidades do setor publico e privado- Compreender o processo de promocao e comercializacao para o posicionamento    mercadologico de destinos em relacao aos intentos de desenvolvimento do turismo- Contextualizar e refletir sobre as principais tendencias do mercado turistico.RESULTADOS:Como resultado da apreensao dos conteudos propostos o aluno devera demonstrar capacidade de:- Compreender destinos e produtos no contexto da oferta turistica - Identificar os fatores motivadores de deslocamento de influencia determinante na    escolha do destino - Analisar criticamente o setor de turismo e compreende-lo no contexto do   planejamento, da gestao e da promocao do turismo do ponto de vista do setor   publico e do setor privado- Conhecer as ferramentas de promocao turistica para atingir as metas do Plano de    Marketing do destino."
314, ELABORACAO DE PROJETOS EM TURISMO,CET0022 ,CENTRO DE EXCELENCIA EM TURISMO ,"Tecnicas e praticas de elaboracao de projetos turisticos com diagnostico, analises, avaliacoes e estudos financeiros, administrativos e juridicos, orcamentos e cronogramas. Criterios de avaliacao, estudo de demanda e oferta. Modelo geral de projetos. Estudo de receita e custos, leis de incentivo e fontes de financiamento nacionais e internacionais: disponibilidade, caracteristicas e formas de insercao dos projetos. Apresentacao de projetos. Estudos de casos e trabalhos praticos."
314, TECNICAS E PRATICAS DE OPERACAO E AGENCIAMENTO TURISTICO,CET0028 ,CENTRO DE EXCELENCIA EM TURISMO ,
314, SEMINARIOS EM TURISMO 4,CET0032 ,CENTRO DE EXCELENCIA EM TURISMO ,
314, TOPICOS ESPECIAIS EM GASTRONOMIA 3,CET0033 ,CENTRO DE EXCELENCIA EM TURISMO ,"gastronomia e suas multiplas interfaces com outras areas de conhecimento e setores politicos, sociais, economicos, ambientais e culturais."
314, ESTUDO DO TURISMO 1,CET0038 ,CENTRO DE EXCELENCIA EM TURISMO ,"Aspectos historicos e conceituais do turismo. A inter-relacao turismo e outros campos do saber. Tipologias do turismo e dos turistas, modalidades e formas de turismo. Caracterizacao de oferta e demanda: segmentacao e tendencias. O perfil do profissional de turismo: competencias e responsabilidades."
314, SUSTENTABILIDADE ETICA E TURISMO,CET0039 ,CENTRO DE EXCELENCIA EM TURISMO ,"Conceitos e principios de desenvolvimento sustentavel e de sustentabilidade. Os ambientes como recurso turistico e o turismo sustentavel. O carater dinamico do turismo: fatores determinantes (tecnologicos, mercadologicos, eticos) e implicacoes com a sustentabilidade. Agenda 21 Global, Brasileira, Local e Agenda 21 para o Turismo. Fundamentos e principios, conceitos, objetivos e objeto da Etica. Fontes de regras eticas e comportamento etico. A construcao do ethos profissional: valores e implicacoes no exercicio profissional, a condicao social do profissional e a vida etica. O codigo de etica profissional e atuacao do bacharel em turismo."
314, ESTUDO DO TURISMO 2,CET0040 ,CENTRO DE EXCELENCIA EM TURISMO ,"O mercado turistico: segmentacao de oferta e demanda e produto turistico, a cadeia de producao,distribuicao e comercializacao. Os diversos prestadores de servicos, equipamentos e atividades:funcoes, operacoes, estrutura, relacionamentos."
